,ctrl_A,ctrl_A_TEX,ctrl_B,ctrl_B_TEX,inf_A,inf_A_TEX,inf_B,inf_B_TEX
ID=cds-AAG08642.1;Parent=gene-PA5257;Dbxref=NCBI_GP:AAG08642.1;Name=AAG08642.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08642.1;transl_table=11,188,136,139,145.3333333,144,115,102,131.0105263
ID=cds-AAG08643.1;Parent=gene-PA5258;Dbxref=NCBI_GP:AAG08643.1;Name=AAG08643.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08643.1;transl_table=11,216,122,180,110,145,78.0625,98,130
ID=cds-AAG08644.1;Parent=gene-PA5259;Dbxref=NCBI_GP:AAG08644.1;Name=AAG08644.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hemD;product=uroporphyrinogen-III synthetase;protein_id=AAG08644.1;transl_table=11,135,127.6,85,123.5,111,256.5,66,268.1
ID=cds-AAG08645.1;Parent=gene-PA5260;Dbxref=NCBI_GP:AAG08645.1;Name=AAG08645.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hemC;product=porphobilinogen deaminase;protein_id=AAG08645.1;transl_table=11,441,2397,306,2187,459,2984.333333,297,3057.2
ID=cds-AAG08646.1;Parent=gene-PA5261;Dbxref=NCBI_GP:AAG08646.1;Name=AAG08646.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=algR;product=alginate biosynthesis regulatory protein AlgR;protein_id=AAG08646.1;transl_table=11,118,265.2,86,259,242,549,158,542
ID=cds-AAG08647.1;Parent=gene-PA5262;Dbxref=NCBI_GP:AAG08647.1;Name=AAG08647.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=algZ;product=alginate biosynthesis protein AlgZ/FimS;protein_id=AAG08647.1;transl_table=11,201,1669.25,141,1440.333333,227,3384.5,165,3390
ID=cds-AAG08648.1;Parent=gene-PA5263;Dbxref=NCBI_GP:AAG08648.1;Name=AAG08648.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=argH;product=argininosuccinate lyase;protein_id=AAG08648.1;transl_table=11,530,1368.111111,414,1353,403,1372,309,1414.333333
ID=cds-AAG08649.1;Parent=gene-PA5264;Dbxref=NCBI_GP:AAG08649.1;Name=AAG08649.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08649.1;transl_table=11,91,352.5,68,305.5,65.5,620.5,46,565.5
ID=cds-AAG08650.1;Parent=gene-PA5265;Dbxref=NCBI_GP:AAG08650.1;Name=AAG08650.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08650.1;transl_table=11,81,562.65,38.5625,533.4,43,719.65,39,826.5333333
ID=cds-AAG08651.1;Parent=gene-PA5266;Dbxref=NCBI_GP:AAG08651.1;Name=AAG08651.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08651.1;transl_table=11,8.5,18.66666667,3,29.5,3,15.5,7.333333333,21
ID=cds-AAG08652.1;Parent=gene-PA5267;Dbxref=NCBI_GP:AAG08652.1;Name=AAG08652.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hcpB;product=secreted protein Hcp;protein_id=AAG08652.1;transl_table=11,6.833333333,31.66666667,10,35,9,46.04166667,3.666666667,32.83333333
ID=cds-AAG08653.1;Parent=gene-PA5268;Dbxref=NCBI_GP:AAG08653.1;Name=AAG08653.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=corA;product=magnesium/cobalt transport protein;protein_id=AAG08653.1;transl_table=11,124,310,86,362,127,420,79,449
ID=cds-AAG08654.1;Parent=gene-PA5269;Dbxref=NCBI_GP:AAG08654.1;Name=AAG08654.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08654.1;transl_table=11,41,17.33333333,29,6,25,34,25,18
ID=cds-AAG08655.1;Parent=gene-PA5270;Dbxref=NCBI_GP:AAG08655.1;Name=AAG08655.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08655.1;transl_table=11,129,964,103,1062,119,1478,87,1677
ID=cds-AAG08656.1;Parent=gene-PA5271;Dbxref=NCBI_GP:AAG08656.1;Name=AAG08656.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08656.1;transl_table=11,22,21,14,20,6,17,3,17
ID=cds-AAG08657.1;Parent=gene-PA5272;Dbxref=NCBI_GP:AAG08657.1;Name=AAG08657.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=cyaA;product=adenylate cyclase;protein_id=AAG08657.1;transl_table=11,113.1,767.2,76,686.2,124,1277.066667,96,1483.2
ID=cds-AAG08658.1;Parent=gene-PA5273;Dbxref=NCBI_GP:AAG08658.1;Name=AAG08658.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08658.1;transl_table=11,31,17,20,21,24,26.5,9,34.5
ID=cds-AAG08659.1;Parent=gene-PA5274;Dbxref=NCBI_GP:AAG08659.1;Name=AAG08659.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=rnk;product=nucleoside diphosphate kinase regulator;protein_id=AAG08659.1;transl_table=11,132,190,137,206,105.5,139,77,154
ID=cds-AAG08660.1;Parent=gene-PA5275;Dbxref=NCBI_GP:AAG08660.1;Name=AAG08660.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08660.1;transl_table=11,132,1062,112,963,121,1150.5,57,1167
ID=cds-AAG08661.1;Parent=gene-PA5276;Dbxref=NCBI_GP:AAG08661.1;Name=AAG08661.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=lppL;product=Lipopeptide LppL precursor;protein_id=AAG08661.1;transl_table=11,662,1315,492,1234,575,1282,419,1185
ID=cds-AAG08662.1;Parent=gene-PA5277;Dbxref=NCBI_GP:AAG08662.1;Name=AAG08662.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=lysA;product=diaminopimelate decarboxylase;protein_id=AAG08662.1;transl_table=11,702,276.0714286,569,295,529,272,319.0555556,236
ID=cds-AAG08663.1;Parent=gene-PA5278;Dbxref=NCBI_GP:AAG08663.1;Name=AAG08663.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dapF;product=diaminopimelate epimerase;protein_id=AAG08663.1;transl_table=11,617,1050.090909,493,1109.728571,342.5,1333.75,239,1306.05
ID=cds-AAG08664.1;Parent=gene-PA5279;Dbxref=NCBI_GP:AAG08664.1;Name=AAG08664.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08664.1;transl_table=11,399,957,274,1022.333333,221,1186.25,137,1227
ID=cds-AAG08665.1;Parent=gene-PA5280;Dbxref=NCBI_GP:AAG08665.1;Name=AAG08665.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=sss;product=site-specific recombinase Sss;protein_id=AAG08665.1;transl_table=11,63.08333333,59,63,38.25,47.25,25.125,24.08333333,32.45238095
ID=cds-AAG08666.1;Parent=gene-PA5281;Dbxref=NCBI_GP:AAG08666.1;Name=AAG08666.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable hydrolase;protein_id=AAG08666.1;transl_table=11,66,37,36,36,34,19,9,37
ID=cds-AAG08667.1;Parent=gene-PA5282;Dbxref=NCBI_GP:AAG08667.1;Name=AAG08667.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable major facilitator superfamily (MFS) transporter;protein_id=AAG08667.1;transl_table=11,4,10,3,11,8.071428571,23.25,1,28
ID=cds-AAG08668.1;Parent=gene-PA5283;Dbxref=NCBI_GP:AAG08668.1;Name=AAG08668.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG08668.1;transl_table=11,101,547,78,510,99,737.7575758,76,770.2
ID=cds-AAG08669.1;Parent=gene-PA5284;Dbxref=NCBI_GP:AAG08669.1;Name=AAG08669.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08669.1;transl_table=11,26,62.15384615,20,55,13,69,4,59
ID=cds-AAG08670.1;Parent=gene-PA5285;Dbxref=NCBI_GP:AAG08670.1;Name=AAG08670.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08670.1;transl_table=11,391,412.4,298,495,166,294.2,93,175.6
ID=cds-AAG08671.1;Parent=gene-PA5286;Dbxref=NCBI_GP:AAG08671.1;Name=AAG08671.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08671.1;transl_table=11,1043,19440,697,18978,663,16063,486,15703
ID=cds-AAG08672.1;Parent=gene-PA5287;Dbxref=NCBI_GP:AAG08672.1;Name=AAG08672.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=amtB;product=ammonium transporter AmtB;protein_id=AAG08672.1;transl_table=11,204,217,186,214.5,111,264.5,75,228.8333333
ID=cds-AAG08673.1;Parent=gene-PA5288;Dbxref=NCBI_GP:AAG08673.1;Name=AAG08673.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=glnK;product=nitrogen regulatory protein P-II 2;protein_id=AAG08673.1;transl_table=11,328,443,284,417,180,315,139,287
ID=cds-AAG08674.1;Parent=gene-PA5289;Dbxref=NCBI_GP:AAG08674.1;Name=AAG08674.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08674.1;transl_table=11,225,1348,168,1276,214,1559,149,1686
ID=cds-AAG08675.1;Parent=gene-PA5290;Dbxref=NCBI_GP:AAG08675.1;Name=AAG08675.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08675.1;transl_table=11,70,75,38,78,49,193,31,164.2361111
ID=cds-AAG08676.1;Parent=gene-PA5291;Dbxref=NCBI_GP:AAG08676.1;Name=AAG08676.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable choline transporter;protein_id=AAG08676.1;transl_table=11,441.25,2427,354,2752,353,2109.166667,269,1748
ID=cds-AAG08677.1;Parent=gene-PA5292;Dbxref=NCBI_GP:AAG08677.1;Name=AAG08677.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=pchP;product=phosphorylcholine phosphatase;protein_id=AAG08677.1;transl_table=11,27,129,20,112,20,220,22,154.25
ID=cds-AAG08678.1;Parent=gene-PA5293;Dbxref=NCBI_GP:AAG08678.1;Name=AAG08678.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG08678.1;transl_table=11,24,15,10,15.05263158,16,21,5,20
ID=cds-AAG08679.1;Parent=gene-PA5294;Dbxref=NCBI_GP:AAG08679.1;Name=AAG08679.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08679.1;transl_table=11,9,28.125,2,41.41666667,3,64.2,6.5,60
ID=cds-AAG08680.1;Parent=gene-PA5295;Dbxref=NCBI_GP:AAG08680.1;Name=AAG08680.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08680.1;transl_table=11,327,2214,244,2035,187,2024.5,143,2034.333333
ID=cds-AAG08681.1;Parent=gene-PA5296;Dbxref=NCBI_GP:AAG08681.1;Name=AAG08681.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=rep;product=ATP-dependent DNA helicase Rep;protein_id=AAG08681.1;transl_table=11,1304.5,3203.309524,946,3378.5,836,2905.333333,607,2747
ID=cds-AAG08682.1;Parent=gene-PA5297;Dbxref=NCBI_GP:AAG08682.1;Name=AAG08682.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=poxB;product=pyruvate dehydrogenase (cytochrome);protein_id=AAG08682.1;transl_table=11,32,62,29.25,61,32,119.2,20,111
ID=cds-AAG08683.1;Parent=gene-PA5298;Dbxref=NCBI_GP:AAG08683.1;Name=AAG08683.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;product=xanthine phosphoribosyltransferase;protein_id=AAG08683.1;transl_table=11,1005,4561,774,4407.333333,846,4929,550,4907
ID=cds-AAG08684.1;Parent=gene-PA5299;Dbxref=NCBI_GP:AAG08684.1;Name=AAG08684.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08684.1;transl_table=11,61,65.5,54,77.83333333,36.33333333,57.95,42,78
ID=cds-AAG08685.1;Parent=gene-PA5300;Dbxref=NCBI_GP:AAG08685.1;Name=AAG08685.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=cycB;product=cytochrome c5;protein_id=AAG08685.1;transl_table=11,393,718.25,277,740,204,421.3333333,162,441
ID=cds-AAG08686.1;Parent=gene-PA5301;Dbxref=NCBI_GP:AAG08686.1;Name=AAG08686.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG08686.1;transl_table=11,592,2254,494,2210.25,442,2333,276,2123
ID=cds-AAG08687.1;Parent=gene-PA5302;Dbxref=NCBI_GP:AAG08687.1;Name=AAG08687.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dadX;product=catabolic alanine racemase;protein_id=AAG08687.1;transl_table=11,80,95,96,105,64,115,49,115
ID=cds-AAG08688.1;Parent=gene-PA5303;Dbxref=NCBI_GP:AAG08688.1;Name=AAG08688.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08688.1;transl_table=11,74,74,70,68,102,80.16666667,77.5,86
ID=cds-AAG08689.1;Parent=gene-PA5304;Dbxref=NCBI_GP:AAG08689.1;Name=AAG08689.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dadA;product=D-amino acid dehydrogenase%2C small subunit;protein_id=AAG08689.1;transl_table=11,506,1019.4,357,909,913,2510.333333,647,2298.95
ID=cds-AAG08690.1;Parent=gene-PA5305;Dbxref=NCBI_GP:AAG08690.1;Name=AAG08690.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08690.1;transl_table=11,57,76,39.14285714,76,35,85,27,102.1666667
ID=cds-AAG08691.1;Parent=gene-PA5306;Dbxref=NCBI_GP:AAG08691.1;Name=AAG08691.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08691.1;transl_table=11,54,27.33333333,48,23,37,28,26,42
ID=cds-AAG08692.1;Parent=gene-PA5307;Dbxref=NCBI_GP:AAG08692.1;Name=AAG08692.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08692.1;transl_table=11,69,328,72,304.3809524,87.53333333,414.6166667,49.16666667,438.7
ID=cds-AAG08693.1;Parent=gene-PA5308;Dbxref=NCBI_GP:AAG08693.1;Name=AAG08693.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=lrp;product=leucine-responsive regulatory protein;protein_id=AAG08693.1;transl_table=11,210,120,146.5,155,183.2,200.2,118,189.2
ID=cds-AAG08694.1;Parent=gene-PA5309;Dbxref=NCBI_GP:AAG08694.1;Name=AAG08694.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable oxidoreductase;protein_id=AAG08694.1;transl_table=11,126,108.3333333,81,118,64,76,55,76
ID=cds-AAG08695.1;Parent=gene-PA5310;Dbxref=NCBI_GP:AAG08695.1;Name=AAG08695.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08695.1;transl_table=11,41,136,48,139.1111111,28,183.25,34,217
ID=cds-AAG08696.1;Parent=gene-PA5311;Dbxref=NCBI_GP:AAG08696.1;Name=AAG08696.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable major facilitator superfamily (MFS) transporter;protein_id=AAG08696.1;transl_table=11,16,19.83333333,15,11,9,17.33333333,10,14
ID=cds-AAG08697.1;Parent=gene-PA5312;Dbxref=NCBI_GP:AAG08697.1;Name=AAG08697.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable aldehyde dehydrogenase;protein_id=AAG08697.1;transl_table=11,314,165,220,168.25,271,163,224,230.1
ID=cds-AAG08698.1;Parent=gene-PA5313;Dbxref=NCBI_GP:AAG08698.1;Name=AAG08698.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable pyridoxal-dependent aminotransferase;protein_id=AAG08698.1;transl_table=11,99,482,88.2,459.0769231,105,530,64,874.5
ID=cds-AAG08699.1;Parent=gene-PA5314;Dbxref=NCBI_GP:AAG08699.1;Name=AAG08699.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08699.1;transl_table=11,39,141,28,142,13,266,13,184.1666667
ID=cds-AAG08700.1;Parent=gene-PA5315;Dbxref=NCBI_GP:AAG08700.1;Name=AAG08700.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=rpmG;product=50S ribosomal protein L33;protein_id=AAG08700.1;transl_table=11,1429,1974,1178,2057,649,1165.333333,516,654.5
ID=cds-AAG08701.1;Parent=gene-PA5316;Dbxref=NCBI_GP:AAG08701.1;Name=AAG08701.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=rpmB;product=50S ribosomal protein L28;protein_id=AAG08701.1;transl_table=11,5920,3544.333333,5181,3791,3035,2117,2190,1978
ID=rna-PA5316.1;Parent=gene-PA5316.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.;gbkey=ncRNA,0,3,0,6,0,11,1,10
ID=cds-AAG08702.1;Parent=gene-PA5317;Dbxref=NCBI_GP:AAG08702.1;Name=AAG08702.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable binding protein component of ABC dipeptide transporter;protein_id=AAG08702.1;transl_table=11,107.25,64,78.25,56,107,63,73.16666667,45
ID=cds-AAG08703.1;Parent=gene-PA5318;Dbxref=NCBI_GP:AAG08703.1;Name=AAG08703.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08703.1;transl_table=11,11,6,9.2,13,10,9,5,10
ID=cds-AAG08704.1;Parent=gene-PA5319;Dbxref=NCBI_GP:AAG08704.1;Name=AAG08704.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=radC;product=DNA repair protein RadC;protein_id=AAG08704.1;transl_table=11,35,349.5,17,261,32,366.3333333,13,407
ID=cds-AAG08705.1;Parent=gene-PA5320;Dbxref=NCBI_GP:AAG08705.1;Name=AAG08705.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=coaC;product=Phosphopantothenoylcysteine synthase/(R)-4'-phospho-N-pantothenoylcysteine decarboxylase;protein_id=AAG08705.1;transl_table=11,430,840.25,313,835.5,227,577.625,170,592
ID=cds-AAG08706.1;Parent=gene-PA5321;Dbxref=NCBI_GP:AAG08706.1;Name=AAG08706.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dut;product=deoxyuridine 5'-triphosphate nucleotidohydrolase;protein_id=AAG08706.1;transl_table=11,195,131,133,111,120,82,83,97
ID=cds-AAG08707.1;Parent=gene-PA5322;Dbxref=NCBI_GP:AAG08707.1;Name=AAG08707.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=algC;product=phosphomannomutase AlgC;protein_id=AAG08707.1;transl_table=11,1096,460.6666667,881,512.8333333,693.3333333,434,457,418.5833333
ID=cds-AAG08708.1;Parent=gene-PA5323;Dbxref=NCBI_GP:AAG08708.1;Name=AAG08708.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=argB;product=acetylglutamate kinase;protein_id=AAG08708.1;transl_table=11,650,346,464,408,364.5,274.5,222.0625,208.5
ID=cds-AAG08709.1;Parent=gene-PA5324;Dbxref=NCBI_GP:AAG08709.1;Name=AAG08709.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG08709.1;transl_table=11,71,641,60,653,39,438.3333333,22,400.25
ID=cds-AAG08710.1;Parent=gene-PA5325;Dbxref=NCBI_GP:AAG08710.1;Name=AAG08710.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08710.1;transl_table=11,3,42.2,5,33.51694915,7,58,3,65
ID=cds-AAG08711.1;Parent=gene-PA5326;Dbxref=NCBI_GP:AAG08711.1;Name=AAG08711.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08711.1;transl_table=11,4,16.5,11,9,4,10,1,23
ID=cds-AAG08712.1;Parent=gene-PA5327;Dbxref=NCBI_GP:AAG08712.1;Name=AAG08712.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable oxidoreductase;protein_id=AAG08712.1;transl_table=11,17,24,5,26,2,40.2,1,37
ID=cds-AAG08713.1;Parent=gene-PA5328;Dbxref=NCBI_GP:AAG08713.1;Name=AAG08713.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable cytochrome c(mono-heme type);protein_id=AAG08713.1;transl_table=11,3,7,1,5,2,3,3,7
ID=cds-AAG08714.1;Parent=gene-PA5329;Dbxref=NCBI_GP:AAG08714.1;Name=AAG08714.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08714.1;transl_table=11,27,330.125,23,290.0833333,59,720,31,687
ID=cds-AAG08715.1;Parent=gene-PA5330;Dbxref=NCBI_GP:AAG08715.1;Name=AAG08715.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG08715.1;transl_table=11,335,266,242,280,171,268.6111111,131,271
ID=cds-AAG08716.1;Parent=gene-PA5331;Dbxref=NCBI_GP:AAG08716.1;Name=AAG08716.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=pyrE;product=orotate phosphoribosyltransferase;protein_id=AAG08716.1;transl_table=11,1031,14767,850,14142.25,890,15129.5,628,15047.625
ID=cds-AAG08717.1;Parent=gene-PA5332;Dbxref=NCBI_GP:AAG08717.1;Name=AAG08717.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=crc;product=catabolite repression control protein;protein_id=AAG08717.1;transl_table=11,2012,7274.183333,1525,6803,1805,8274,1321,7838.416667
ID=cds-AAG08718.1;Parent=gene-PA5333;Dbxref=NCBI_GP:AAG08718.1;Name=AAG08718.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08718.1;transl_table=11,269,159.1428571,203,181,136,140.3333333,94,128
ID=cds-AAG08719.1;Parent=gene-PA5334;Dbxref=NCBI_GP:AAG08719.1;Name=AAG08719.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=rph;product=ribonuclease PH;protein_id=AAG08719.1;transl_table=11,756,922,586,880,586,906.3333333,389,917
ID=cds-AAG08720.1;Parent=gene-PA5335;Dbxref=NCBI_GP:AAG08720.1;Name=AAG08720.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG08720.1;transl_table=11,399,2018.5,321,1801,362.2,2257.5,288,2668
ID=cds-AAG08721.1;Parent=gene-PA5336;Dbxref=NCBI_GP:AAG08721.1;Name=AAG08721.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=gmk;product=guanylate kinase;protein_id=AAG08721.1;transl_table=11,441,273,378,269.4222222,269,274.1111111,165,246.5
