,JP_PAO1_A_cip,JP_PAO1_B_cip,JP_PAO1_C_cip,JP_1128_A_cip,JP_1128_B_cip,JP_1128_C_cip,JP_1139_A_cip,JP_1139_B_cip,JP1139_C_cip
"IGR:(CDS,PA5285,-,hypothetical_protein,cds5287,-,317/CDS,PA5286,-,hypothetical_protein,cds5288,-,425):+:26:NC_002516.2",0,0,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA5285,-,hypothetical_protein,cds5287,-,317/CDS,PA5286,-,hypothetical_protein,cds5288,-,425):+:26:NC_002516.2",7,19,4,13,2,1,10,6,1
CDS:PA5286:-:hypothetical_protein:cds5288:-:425:NC_002516.2,155,319,136,301,38,47,174,75,24
AS_CDS:PA5286:-:hypothetical_protein:cds5288:-:425:NC_002516.2,0,11,7,3,0,0,5,3,0
"IGR:(CDS,PA5286,-,hypothetical_protein,cds5288,-,425/CDS,PA5287,amtB,ammonium_transporter,cds5289,-,1328):+:209:NC_002516.2",1,4,4,2,1,0,3,0,1
"AS_IGR:(CDS,PA5286,-,hypothetical_protein,cds5288,-,425/CDS,PA5287,amtB,ammonium_transporter,cds5289,-,1328):+:209:NC_002516.2",16,42,23,49,7,10,22,12,6
CDS:PA5287:amtB:ammonium_transporter:cds5289:-:1328:NC_002516.2,474,1294,393,1517,264,291,864,502,221
AS_CDS:PA5287:amtB:ammonium_transporter:cds5289:-:1328:NC_002516.2,36,123,37,131,56,31,93,34,19
CDS:PA5288:glnK:nitrogen_regulatory_protein_P-II_2:cds5290:-:338:NC_002516.2,2647,7373,2169,8531,1336,1288,4922,3071,1247
AS_CDS:PA5288:glnK:nitrogen_regulatory_protein_P-II_2:cds5290:-:338:NC_002516.2,34,69,26,86,11,13,61,17,13
"IGR:(CDS,PA5288,glnK,nitrogen_regulatory_protein_P-II_2,cds5290,-,338/CDS,PA5289,-,hypothetical_protein,cds5291,+,260):+:398:NC_002516.2",17,19,5,10,3,1,14,7,1
"AS_IGR:(CDS,PA5288,glnK,nitrogen_regulatory_protein_P-II_2,cds5290,-,338/CDS,PA5289,-,hypothetical_protein,cds5291,+,260):+:398:NC_002516.2",323,857,250,972,171,151,551,347,150
CDS:PA5289:-:hypothetical_protein:cds5291:+:260:NC_002516.2,85,148,62,146,36,20,80,39,38
AS_CDS:PA5289:-:hypothetical_protein:cds5291:+:260:NC_002516.2,3,8,2,12,1,0,1,1,3
CDS:PA5290:-:hypothetical_protein:cds5292:+:1493:NC_002516.2,187,318,135,392,72,55,234,118,43
AS_CDS:PA5290:-:hypothetical_protein:cds5292:+:1493:NC_002516.2,71,165,56,220,14,29,102,52,16
"IGR:(CDS,PA5290,-,hypothetical_protein,cds5292,+,1493/CDS,PA5291,-,choline_transporter,cds5293,+,1985):+:73:NC_002516.2",5,19,6,18,1,2,6,7,4
"AS_IGR:(CDS,PA5290,-,hypothetical_protein,cds5292,+,1493/CDS,PA5291,-,choline_transporter,cds5293,+,1985):+:73:NC_002516.2",4,7,1,6,1,1,4,1,1
CDS:PA5291:-:choline_transporter:cds5293:+:1985:NC_002516.2,254,722,230,852,86,128,529,263,106
AS_CDS:PA5291:-:choline_transporter:cds5293:+:1985:NC_002516.2,33,91,17,119,10,11,48,25,11
CDS:PA5292:pchP:phosphorylcholine_phosphatase:cds5294:-:1049:NC_002516.2,28,154,36,113,13,8,53,33,11
AS_CDS:PA5292:pchP:phosphorylcholine_phosphatase:cds5294:-:1049:NC_002516.2,60,196,55,152,12,31,109,62,22
"IGR:(CDS,PA5292,pchP,phosphorylcholine_phosphatase,cds5294,-,1049/CDS,PA5293,-,transcriptional_regulator,cds5295,-,917):+:99:NC_002516.2",0,3,1,6,0,0,3,2,0
"AS_IGR:(CDS,PA5292,pchP,phosphorylcholine_phosphatase,cds5294,-,1049/CDS,PA5293,-,transcriptional_regulator,cds5295,-,917):+:99:NC_002516.2",4,16,3,12,3,2,4,5,1
CDS:PA5293:-:transcriptional_regulator:cds5295:-:917:NC_002516.2,57,95,33,109,16,15,75,46,22
AS_CDS:PA5293:-:transcriptional_regulator:cds5295:-:917:NC_002516.2,3,22,0,24,0,8,15,3,1
"IGR:(CDS,PA5293,-,transcriptional_regulator,cds5295,-,917/CDS,PA5294,-,multidrug_efflux_protein_NorA,cds5296,+,1466):+:107:NC_002516.2",0,4,2,1,0,1,0,0,0
"AS_IGR:(CDS,PA5293,-,transcriptional_regulator,cds5295,-,917/CDS,PA5294,-,multidrug_efflux_protein_NorA,cds5296,+,1466):+:107:NC_002516.2",1,6,1,2,1,0,0,1,1
CDS:PA5294:-:multidrug_efflux_protein_NorA:cds5296:+:1466:NC_002516.2,61,171,37,172,30,18,110,65,10
AS_CDS:PA5294:-:multidrug_efflux_protein_NorA:cds5296:+:1466:NC_002516.2,71,151,59,208,35,22,99,72,15
CDS:PA5295:-:hypothetical_protein:cds5297:-:1676:NC_002516.2,462,1264,417,1457,192,225,782,488,202
AS_CDS:PA5295:-:hypothetical_protein:cds5297:-:1676:NC_002516.2,56,119,30,158,15,31,81,46,41
"IGR:(CDS,PA5295,-,hypothetical_protein,cds5297,-,1676/CDS,PA5296,rep,ATP-dependent_DNA_helicase_Rep,cds5298,+,2009):+:146:NC_002516.2",2,7,3,7,2,1,8,1,1
"AS_IGR:(CDS,PA5295,-,hypothetical_protein,cds5297,-,1676/CDS,PA5296,rep,ATP-dependent_DNA_helicase_Rep,cds5298,+,2009):+:146:NC_002516.2",43,133,39,138,11,23,81,46,26
CDS:PA5296:rep:ATP-dependent_DNA_helicase_Rep:cds5298:+:2009:NC_002516.2,222,482,261,412,76,68,302,150,81
AS_CDS:PA5296:rep:ATP-dependent_DNA_helicase_Rep:cds5298:+:2009:NC_002516.2,20,154,31,85,23,8,40,35,14
"IGR:(CDS,PA5296,rep,ATP-dependent_DNA_helicase_Rep,cds5298,+,2009/CDS,PA5297,poxB,pyruvate_dehydrogenase_%28cytochrome%29,cds5299,+,1718):+:82:NC_002516.2",2,11,3,6,0,1,7,2,2
"AS_IGR:(CDS,PA5296,rep,ATP-dependent_DNA_helicase_Rep,cds5298,+,2009/CDS,PA5297,poxB,pyruvate_dehydrogenase_%28cytochrome%29,cds5299,+,1718):+:82:NC_002516.2",0,3,1,1,1,0,1,0,1
CDS:PA5297:poxB:pyruvate_dehydrogenase_%28cytochrome%29:cds5299:+:1718:NC_002516.2,26,75,19,103,16,10,50,28,19
AS_CDS:PA5297:poxB:pyruvate_dehydrogenase_%28cytochrome%29:cds5299:+:1718:NC_002516.2,84,206,49,222,15,40,91,58,39
"IGR:(CDS,PA5297,poxB,pyruvate_dehydrogenase_%28cytochrome%29,cds5299,+,1718/CDS,PA5298,-,xanthine_phosphoribosyltransferase,cds5300,+,572):+:77:NC_002516.2",1,4,2,3,1,1,3,3,1
"AS_IGR:(CDS,PA5297,poxB,pyruvate_dehydrogenase_%28cytochrome%29,cds5299,+,1718/CDS,PA5298,-,xanthine_phosphoribosyltransferase,cds5300,+,572):+:77:NC_002516.2",2,10,6,17,0,1,5,2,3
CDS:PA5298:-:xanthine_phosphoribosyltransferase:cds5300:+:572:NC_002516.2,94,162,58,165,26,39,96,44,19
AS_CDS:PA5298:-:xanthine_phosphoribosyltransferase:cds5300:+:572:NC_002516.2,33,79,20,99,9,17,78,18,3
CDS:PA5299:-:hypothetical_protein:cds5301:-:1859:NC_002516.2,189,378,138,492,40,84,258,110,78
AS_CDS:PA5299:-:hypothetical_protein:cds5301:-:1859:NC_002516.2,99,275,108,222,29,35,129,79,36
"IGR:(CDS,PA5299,-,hypothetical_protein,cds5301,-,1859/CDS,PA5300,cycB,cytochrome_C5,cds5302,-,410):+:158:NC_002516.2",3,11,1,8,1,0,7,4,3
"AS_IGR:(CDS,PA5299,-,hypothetical_protein,cds5301,-,1859/CDS,PA5300,cycB,cytochrome_C5,cds5302,-,410):+:158:NC_002516.2",53,136,42,118,11,17,76,31,15
CDS:PA5300:cycB:cytochrome_C5:cds5302:-:410:NC_002516.2,1070,2659,867,2450,314,331,1446,739,336
AS_CDS:PA5300:cycB:cytochrome_C5:cds5302:-:410:NC_002516.2,14,28,4,22,4,2,15,7,3
"IGR:(CDS,PA5300,cycB,cytochrome_C5,cds5302,-,410/CDS,PA5301,-,transcriptional_regulator,cds5303,-,548):+:170:NC_002516.2",2,5,3,5,1,0,2,3,0
"AS_IGR:(CDS,PA5300,cycB,cytochrome_C5,cds5302,-,410/CDS,PA5301,-,transcriptional_regulator,cds5303,-,548):+:170:NC_002516.2",110,284,84,252,34,45,160,90,45
CDS:PA5301:-:transcriptional_regulator:cds5303:-:548:NC_002516.2,348,910,281,840,121,159,445,306,114
AS_CDS:PA5301:-:transcriptional_regulator:cds5303:-:548:NC_002516.2,14,59,16,99,6,11,37,14,7
"IGR:(CDS,PA5301,-,transcriptional_regulator,cds5303,-,548/CDS,PA5302,dadX,alanine_racemase,cds5304,-,1073):+:99:NC_002516.2",3,6,2,16,1,3,2,2,0
"AS_IGR:(CDS,PA5301,-,transcriptional_regulator,cds5303,-,548/CDS,PA5302,dadX,alanine_racemase,cds5304,-,1073):+:99:NC_002516.2",70,184,70,201,18,31,70,49,21
CDS:PA5302:dadX:alanine_racemase:cds5304:-:1073:NC_002516.2,538,1291,431,1449,224,242,897,463,196
AS_CDS:PA5302:dadX:alanine_racemase:cds5304:-:1073:NC_002516.2,30,63,21,117,19,22,71,73,20
"IGR:(CDS,PA5302,dadX,alanine_racemase,cds5304,-,1073/CDS,PA5303,-,hypothetical_protein,cds5305,-,353):+:39:NC_002516.2",1,6,2,8,0,1,2,1,1
"AS_IGR:(CDS,PA5302,dadX,alanine_racemase,cds5304,-,1073/CDS,PA5303,-,hypothetical_protein,cds5305,-,353):+:39:NC_002516.2",44,153,44,193,22,23,104,47,22
CDS:PA5303:-:hypothetical_protein:cds5305:-:353:NC_002516.2,1744,6755,1709,8307,1006,1096,4160,2005,862
AS_CDS:PA5303:-:hypothetical_protein:cds5305:-:353:NC_002516.2,18,83,12,71,10,14,29,15,14
CDS:PA5304:dadA:D-amino_acid_dehydrogenase_small_subunit:cds5306:-:1298:NC_002516.2,2608,6366,1921,6606,1189,1360,4607,2687,1303
AS_CDS:PA5304:dadA:D-amino_acid_dehydrogenase_small_subunit:cds5306:-:1298:NC_002516.2,25,59,22,84,16,9,59,25,5
"IGR:(CDS,PA5304,dadA,D-amino_acid_dehydrogenase_small_subunit,cds5306,-,1298/CDS,PA5305,-,hypothetical_protein,cds5307,-,344):+:305:NC_002516.2",38,140,35,146,21,21,91,35,11
"AS_IGR:(CDS,PA5304,dadA,D-amino_acid_dehydrogenase_small_subunit,cds5306,-,1298/CDS,PA5305,-,hypothetical_protein,cds5307,-,344):+:305:NC_002516.2",207,524,167,643,101,101,469,244,121
CDS:PA5305:-:hypothetical_protein:cds5307:-:344:NC_002516.2,353,974,302,1212,165,166,812,404,218
AS_CDS:PA5305:-:hypothetical_protein:cds5307:-:344:NC_002516.2,17,63,14,59,11,8,28,17,8
CDS:PA5306:-:hypothetical_protein:cds5308:-:191:NC_002516.2,127,342,122,343,42,80,250,124,71
AS_CDS:PA5306:-:hypothetical_protein:cds5308:-:191:NC_002516.2,4,21,4,20,0,6,27,7,2
CDS:PA5307:-:hypothetical_protein:cds5309:-:2567:NC_002516.2,836,2106,646,2321,327,397,1392,657,300
AS_CDS:PA5307:-:hypothetical_protein:cds5309:-:2567:NC_002516.2,76,227,67,283,25,64,156,72,45
"IGR:(CDS,PA5307,-,hypothetical_protein,cds5309,-,2567/CDS,PA5308,lrp,leucine-responsive_regulatory_protein,cds5310,+,488):+:112:NC_002516.2",0,2,0,1,0,0,1,0,0
"AS_IGR:(CDS,PA5307,-,hypothetical_protein,cds5309,-,2567/CDS,PA5308,lrp,leucine-responsive_regulatory_protein,cds5310,+,488):+:112:NC_002516.2",18,46,13,35,5,5,31,15,4
CDS:PA5308:lrp:leucine-responsive_regulatory_protein:cds5310:+:488:NC_002516.2,56,189,82,234,19,26,112,48,11
AS_CDS:PA5308:lrp:leucine-responsive_regulatory_protein:cds5310:+:488:NC_002516.2,23,85,30,53,2,8,37,42,1
"IGR:(CDS,PA5308,lrp,leucine-responsive_regulatory_protein,cds5310,+,488/CDS,PA5309,-,oxidoreductase,cds5311,+,1319):+:126:NC_002516.2",23,44,20,65,7,5,35,11,4
"AS_IGR:(CDS,PA5308,lrp,leucine-responsive_regulatory_protein,cds5310,+,488/CDS,PA5309,-,oxidoreductase,cds5311,+,1319):+:126:NC_002516.2",2,8,3,4,1,0,2,1,0
CDS:PA5309:-:oxidoreductase:cds5311:+:1319:NC_002516.2,82,93,42,100,17,20,53,29,12
AS_CDS:PA5309:-:oxidoreductase:cds5311:+:1319:NC_002516.2,22,67,10,38,6,17,17,13,9
"IGR:(CDS,PA5309,-,oxidoreductase,cds5311,+,1319/CDS,PA5310,-,hypothetical_protein,cds5312,+,1589):+:34:NC_002516.2",4,6,3,3,1,1,2,4,0
"AS_IGR:(CDS,PA5309,-,oxidoreductase,cds5311,+,1319/CDS,PA5310,-,hypothetical_protein,cds5312,+,1589):+:34:NC_002516.2",2,2,0,2,0,2,3,1,0
CDS:PA5310:-:hypothetical_protein:cds5312:+:1589:NC_002516.2,172,259,90,267,56,44,170,90,60
AS_CDS:PA5310:-:hypothetical_protein:cds5312:+:1589:NC_002516.2,39,119,29,93,16,20,78,53,12
CDS:PA5311:-:major_facilitator_superfamily_%28MFS%29_transporter:cds5313:-:1163:NC_002516.2,25,93,20,84,4,23,42,37,16
AS_CDS:PA5311:-:major_facilitator_superfamily_%28MFS%29_transporter:cds5313:-:1163:NC_002516.2,46,96,25,100,24,15,66,23,15
"IGR:(CDS,PA5311,-,major_facilitator_superfamily_%28MFS%29_transporter,cds5313,-,1163/CDS,PA5312,-,aldehyde_dehydrogenase,cds5314,-,1493):+:95:NC_002516.2",0,3,1,6,0,1,0,1,1
"AS_IGR:(CDS,PA5311,-,major_facilitator_superfamily_%28MFS%29_transporter,cds5313,-,1163/CDS,PA5312,-,aldehyde_dehydrogenase,cds5314,-,1493):+:95:NC_002516.2",21,48,12,48,9,6,33,10,5
CDS:PA5312:-:aldehyde_dehydrogenase:cds5314:-:1493:NC_002516.2,565,1205,435,1341,229,210,891,384,169
AS_CDS:PA5312:-:aldehyde_dehydrogenase:cds5314:-:1493:NC_002516.2,12,80,9,50,1,11,64,10,19
"IGR:(CDS,PA5312,-,aldehyde_dehydrogenase,cds5314,-,1493/CDS,PA5313,-,omega_amino_acid--pyruvate_transaminase,cds5315,+,1334):+:188:NC_002516.2",3,14,3,10,0,2,4,3,2
"AS_IGR:(CDS,PA5312,-,aldehyde_dehydrogenase,cds5314,-,1493/CDS,PA5313,-,omega_amino_acid--pyruvate_transaminase,cds5315,+,1334):+:188:NC_002516.2",39,88,22,77,12,20,37,20,9
CDS:PA5313:-:omega_amino_acid--pyruvate_transaminase:cds5315:+:1334:NC_002516.2,244,533,179,523,62,84,294,215,109
AS_CDS:PA5313:-:omega_amino_acid--pyruvate_transaminase:cds5315:+:1334:NC_002516.2,30,77,26,118,10,21,36,30,4
"IGR:(CDS,PA5313,-,omega_amino_acid--pyruvate_transaminase,cds5315,+,1334/CDS,PA5314,-,hypothetical_protein,cds5316,+,362):+:13:NC_002516.2",1,2,1,2,0,0,1,1,0
"AS_IGR:(CDS,PA5313,-,omega_amino_acid--pyruvate_transaminase,cds5315,+,1334/CDS,PA5314,-,hypothetical_protein,cds5316,+,362):+:13:NC_002516.2",0,1,0,0,0,0,1,0,0
CDS:PA5314:-:hypothetical_protein:cds5316:+:362:NC_002516.2,173,366,128,408,65,48,186,71,49
AS_CDS:PA5314:-:hypothetical_protein:cds5316:+:362:NC_002516.2,6,18,11,10,0,7,11,14,0
"IGR:(CDS,PA5314,-,hypothetical_protein,cds5316,+,362/CDS,PA5315,rpmG,50S_ribosomal_protein_L33,cds5317,-,155):+:73:NC_002516.2",51,121,36,131,23,18,54,22,15
"AS_IGR:(CDS,PA5314,-,hypothetical_protein,cds5316,+,362/CDS,PA5315,rpmG,50S_ribosomal_protein_L33,cds5317,-,155):+:73:NC_002516.2",26,108,29,84,7,11,62,21,10
CDS:PA5315:rpmG:50S_ribosomal_protein_L33:cds5317:-:155:NC_002516.2,368,1379,375,1124,107,144,812,276,130
AS_CDS:PA5315:rpmG:50S_ribosomal_protein_L33:cds5317:-:155:NC_002516.2,14,31,10,26,3,5,16,9,4
CDS:PA5316:rpmB:50S_ribosomal_protein_L28:cds5318:-:236:NC_002516.2,437,1493,456,1272,155,173,840,347,151
AS_CDS:PA5316:rpmB:50S_ribosomal_protein_L28:cds5318:-:236:NC_002516.2,16,37,17,47,5,13,37,17,3
"ncRNA:PA5316.1,ID:-:-:id103:+:50:NC_002516.2",2,4,1,3,0,1,2,0,0
"AS_ncRNA:PA5316.1,ID:-:-:id103:+:50:NC_002516.2",50,135,50,145,14,15,70,40,14
"IGR:(ncRNA,PA5316.1,ID,-,-,id103,+,50/CDS,PA5317,-,dipeptide_ABC_transporter_substrate-binding_protein,cds5319,+,1580):+:283:NC_002516.2",21,31,7,31,1,7,11,4,0
"AS_IGR:(ncRNA,PA5316.1,ID,-,-,id103,+,50/CDS,PA5317,-,dipeptide_ABC_transporter_substrate-binding_protein,cds5319,+,1580):+:283:NC_002516.2",207,467,173,676,78,53,255,123,63
CDS:PA5317:-:dipeptide_ABC_transporter_substrate-binding_protein:cds5319:+:1580:NC_002516.2,131,303,95,387,55,63,232,92,58
AS_CDS:PA5317:-:dipeptide_ABC_transporter_substrate-binding_protein:cds5319:+:1580:NC_002516.2,75,115,44,152,24,26,63,42,28
CDS:PA5318:-:hypothetical_protein:cds5320:+:548:NC_002516.2,42,92,34,151,17,4,88,15,18
AS_CDS:PA5318:-:hypothetical_protein:cds5320:+:548:NC_002516.2,69,171,68,197,34,23,90,76,25
CDS:PA5319:radC:DNA_repair_protein_RadC:cds5321:-:674:NC_002516.2,248,860,226,793,126,130,441,240,110
AS_CDS:PA5319:radC:DNA_repair_protein_RadC:cds5321:-:674:NC_002516.2,25,42,7,58,20,4,29,17,1
"IGR:(CDS,PA5319,radC,DNA_repair_protein_RadC,cds5321,-,674/CDS,PA5320,coaC,bifunctional_phosphopantothenoylcysteine_decarboxylase%2Fphosphopantothenate_synthase,cds5322,+,1208):+:98:NC_002516.2",5,13,6,16,3,1,4,1,1
"AS_IGR:(CDS,PA5319,radC,DNA_repair_protein_RadC,cds5321,-,674/CDS,PA5320,coaC,bifunctional_phosphopantothenoylcysteine_decarboxylase%2Fphosphopantothenate_synthase,cds5322,+,1208):+:98:NC_002516.2",20,76,18,63,8,11,32,22,7
CDS:PA5320:coaC:bifunctional_phosphopantothenoylcysteine_decarboxylase%2Fphosphopantothenate_synthase:cds5322:+:1208:NC_002516.2,219,561,182,490,108,99,290,132,104
AS_CDS:PA5320:coaC:bifunctional_phosphopantothenoylcysteine_decarboxylase%2Fphosphopantothenate_synthase:cds5322:+:1208:NC_002516.2,29,33,15,64,6,17,31,15,3
CDS:PA5321:dut:deoxyuridine_5%27-triphosphate_nucleotidohydrolase:cds5323:+:455:NC_002516.2,207,371,125,309,54,52,239,103,54
AS_CDS:PA5321:dut:deoxyuridine_5%27-triphosphate_nucleotidohydrolase:cds5323:+:455:NC_002516.2,1,6,5,8,1,1,4,7,0
CDS:PA5322:algC:phosphomannomutase:cds5324:+:2606:NC_002516.2,788,1956,584,2109,306,355,1160,542,358
AS_CDS:PA5322:algC:phosphomannomutase:cds5324:+:2606:NC_002516.2,109,253,73,316,38,52,145,99,60
CDS:PA5323:argB:acetylglutamate_kinase:cds5325:+:905:NC_002516.2,319,919,248,925,149,166,683,257,162
AS_CDS:PA5323:argB:acetylglutamate_kinase:cds5325:+:905:NC_002516.2,9,42,8,41,9,6,42,5,9
CDS:PA5324:-:transcriptional_regulator:cds5326:-:1070:NC_002516.2,88,223,92,217,50,43,140,97,18
AS_CDS:PA5324:-:transcriptional_regulator:cds5326:-:1070:NC_002516.2,95,196,52,246,40,45,130,71,31
"IGR:(CDS,PA5324,-,transcriptional_regulator,cds5326,-,1070/CDS,PA5325,-,hypothetical_protein,cds5327,+,950):+:183:NC_002516.2",2,7,1,3,0,0,9,1,0
"AS_IGR:(CDS,PA5324,-,transcriptional_regulator,cds5326,-,1070/CDS,PA5325,-,hypothetical_protein,cds5327,+,950):+:183:NC_002516.2",11,32,7,23,3,9,16,7,3
CDS:PA5325:-:hypothetical_protein:cds5327:+:950:NC_002516.2,13,47,4,35,11,0,24,3,2
AS_CDS:PA5325:-:hypothetical_protein:cds5327:+:950:NC_002516.2,24,57,14,46,6,3,25,16,5
"IGR:(CDS,PA5325,-,hypothetical_protein,cds5327,+,950/CDS,PA5326,-,hypothetical_protein,cds5328,-,1208):+:9:NC_002516.2",0,0,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA5325,-,hypothetical_protein,cds5327,+,950/CDS,PA5326,-,hypothetical_protein,cds5328,-,1208):+:9:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA5326:-:hypothetical_protein:cds5328:-:1208:NC_002516.2,26,23,17,50,7,6,38,10,3
AS_CDS:PA5326:-:hypothetical_protein:cds5328:-:1208:NC_002516.2,10,19,7,17,0,0,5,3,1
"IGR:(CDS,PA5326,-,hypothetical_protein,cds5328,-,1208/CDS,PA5327,-,oxidoreductase,cds5329,-,1328):+:31:NC_002516.2",1,0,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA5326,-,hypothetical_protein,cds5328,-,1208/CDS,PA5327,-,oxidoreductase,cds5329,-,1328):+:31:NC_002516.2",0,2,0,0,0,0,0,0,0
CDS:PA5327:-:oxidoreductase:cds5329:-:1328:NC_002516.2,5,106,13,62,11,14,24,12,5
AS_CDS:PA5327:-:oxidoreductase:cds5329:-:1328:NC_002516.2,36,56,27,87,4,3,71,42,13
"IGR:(CDS,PA5327,-,oxidoreductase,cds5329,-,1328/CDS,PA5328,-,mono-heme_cytochrome_C,cds5330,-,389):+:26:NC_002516.2",0,0,0,1,0,0,1,0,0
"AS_IGR:(CDS,PA5327,-,oxidoreductase,cds5329,-,1328/CDS,PA5328,-,mono-heme_cytochrome_C,cds5330,-,389):+:26:NC_002516.2",0,1,0,2,0,0,0,0,0
CDS:PA5328:-:mono-heme_cytochrome_C:cds5330:-:389:NC_002516.2,19,32,6,41,6,4,7,13,5
AS_CDS:PA5328:-:mono-heme_cytochrome_C:cds5330:-:389:NC_002516.2,3,4,2,6,4,0,4,2,7
"IGR:(CDS,PA5328,-,mono-heme_cytochrome_C,cds5330,-,389/CDS,PA5329,-,hypothetical_protein,cds5331,+,464):+:132:NC_002516.2",0,2,0,0,3,0,0,0,0
"AS_IGR:(CDS,PA5328,-,mono-heme_cytochrome_C,cds5330,-,389/CDS,PA5329,-,hypothetical_protein,cds5331,+,464):+:132:NC_002516.2",7,16,4,17,1,1,4,5,4
CDS:PA5329:-:hypothetical_protein:cds5331:+:464:NC_002516.2,38,64,64,92,20,16,85,39,13
AS_CDS:PA5329:-:hypothetical_protein:cds5331:+:464:NC_002516.2,86,196,63,202,26,32,103,50,38
CDS:PA5330:-:hypothetical_protein:cds5332:-:617:NC_002516.2,560,1350,456,1410,174,227,778,440,186
AS_CDS:PA5330:-:hypothetical_protein:cds5332:-:617:NC_002516.2,33,76,34,109,18,37,103,43,13
CDS:PA5331:pyrE:orotate_phosphoribosyltransferase:cds5333:-:641:NC_002516.2,497,1188,395,1214,164,219,699,365,145
AS_CDS:PA5331:pyrE:orotate_phosphoribosyltransferase:cds5333:-:641:NC_002516.2,21,105,20,88,15,8,38,27,14
"IGR:(CDS,PA5331,pyrE,orotate_phosphoribosyltransferase,cds5333,-,641/CDS,PA5332,crc,catabolite_repression_control_protein,cds5334,+,779):+:39:NC_002516.2",0,1,0,1,0,0,1,1,0
"AS_IGR:(CDS,PA5331,pyrE,orotate_phosphoribosyltransferase,cds5333,-,641/CDS,PA5332,crc,catabolite_repression_control_protein,cds5334,+,779):+:39:NC_002516.2",22,45,18,35,3,5,25,9,6
CDS:PA5332:crc:catabolite_repression_control_protein:cds5334:+:779:NC_002516.2,1134,2910,977,2891,405,391,1846,1009,494
AS_CDS:PA5332:crc:catabolite_repression_control_protein:cds5334:+:779:NC_002516.2,69,148,51,182,16,16,77,62,25
CDS:PA5333:-:hypothetical_protein:cds5335:-:371:NC_002516.2,173,523,126,560,61,64,316,128,63
AS_CDS:PA5333:-:hypothetical_protein:cds5335:-:371:NC_002516.2,105,212,86,197,36,35,153,83,33
CDS:PA5334:rph:ribonuclease_PH:cds5336:-:719:NC_002516.2,385,961,358,1116,140,171,549,381,161
AS_CDS:PA5334:rph:ribonuclease_PH:cds5336:-:719:NC_002516.2,35,67,30,78,23,22,48,25,15
"IGR:(CDS,PA5334,rph,ribonuclease_PH,cds5336,-,719/CDS,PA5335,-,hypothetical_protein,cds5337,+,863):+:139:NC_002516.2",20,48,15,35,7,9,29,14,10
"AS_IGR:(CDS,PA5334,rph,ribonuclease_PH,cds5336,-,719/CDS,PA5335,-,hypothetical_protein,cds5337,+,863):+:139:NC_002516.2",10,21,7,16,4,5,20,9,3
CDS:PA5335:-:hypothetical_protein:cds5337:+:863:NC_002516.2,307,755,270,812,160,125,452,286,141
AS_CDS:PA5335:-:hypothetical_protein:cds5337:+:863:NC_002516.2,70,248,69,206,29,30,128,49,43
"IGR:(CDS,PA5335,-,hypothetical_protein,cds5337,+,863/CDS,PA5336,gmk,guanylate_kinase,cds5338,+,611):+:7:NC_002516.2",1,2,1,3,0,0,1,1,1
"AS_IGR:(CDS,PA5335,-,hypothetical_protein,cds5337,+,863/CDS,PA5336,gmk,guanylate_kinase,cds5338,+,611):+:7:NC_002516.2",1,6,1,3,1,0,2,1,1
CDS:PA5336:gmk:guanylate_kinase:cds5338:+:611:NC_002516.2,203,622,208,524,98,76,389,174,68
AS_CDS:PA5336:gmk:guanylate_kinase:cds5338:+:611:NC_002516.2,9,93,20,68,32,9,40,33,13
"IGR:(CDS,PA5336,gmk,guanylate_kinase,cds5338,+,611/CDS,PA5337,rpoZ,DNA-directed_RNA_polymerase_subunit_omega,cds5339,+,266):+:37:NC_002516.2",39,114,39,94,14,13,59,37,14
"AS_IGR:(CDS,PA5336,gmk,guanylate_kinase,cds5338,+,611/CDS,PA5337,rpoZ,DNA-directed_RNA_polymerase_subunit_omega,cds5339,+,266):+:37:NC_002516.2",0,0,0,1,0,0,1,0,0
CDS:PA5337:rpoZ:DNA-directed_RNA_polymerase_subunit_omega:cds5339:+:266:NC_002516.2,399,863,319,763,120,149,512,340,155
AS_CDS:PA5337:rpoZ:DNA-directed_RNA_polymerase_subunit_omega:cds5339:+:266:NC_002516.2,2,10,0,5,2,0,3,1,2
"IGR:(CDS,PA5337,rpoZ,DNA-directed_RNA_polymerase_subunit_omega,cds5339,+,266/CDS,PA5338,spoT,guanosine-3%27%2C5%27-bis%28diphosphate%29_3%27-pyrophosphohydrolase,cds5340,+,2105):+:14:NC_002516.2",23,50,18,46,7,9,29,20,8
"AS_IGR:(CDS,PA5337,rpoZ,DNA-directed_RNA_polymerase_subunit_omega,cds5339,+,266/CDS,PA5338,spoT,guanosine-3%27%2C5%27-bis%28diphosphate%29_3%27-pyrophosphohydrolase,cds5340,+,2105):+:14:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA5338:spoT:guanosine-3%27%2C5%27-bis%28diphosphate%29_3%27-pyrophosphohydrolase:cds5340:+:2105:NC_002516.2,1099,2117,858,1981,309,425,1185,664,328
AS_CDS:PA5338:spoT:guanosine-3%27%2C5%27-bis%28diphosphate%29_3%27-pyrophosphohydrolase:cds5340:+:2105:NC_002516.2,80,181,34,161,20,14,124,52,17
